city_code;da_name;da_population;da_surface_ha;dvf_nbtrans_residential;dvf_pxm2_median_residential;dvf_surface_median_residential;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain
01265;Montréal-la-Cluse;3568;1246.11;60;1893;83;32;2094;28;1725;100;59;3;257;88
01266;Montrevel-en-Bresse;2743;1000.02;70;2079;83;34;2124;36;2023;99;69;5;3;805
01267;Nurieux-Volognat;965;1951.81;12;2000;100;11;1983;1;5333;100;45;13;169;450
01268;Murs-et-Gélignieux;239;604.12;8;2859;100;7;2848;1;5556;100;72;3;47;2100
01269;Nantua;3416;1453.12;94;1395;77;21;1632;73;1354;100;65;6;278;624
01272;Neuville-les-Dames;1565;2627.22;45;2047;101;40;1930;8;2304;104;56;7;242;462
01273;Neuville-sur-Ain;1794;1989.57;48;2176;97;47;2168;7;1686;96;70;11;122;653
01274;Les Neyrolles;628;958.36;20;1573;87;16;1831;6;1354;87;76;0;;
01275;Neyron;2421;530.01;71;3818;100;47;3992;24;3508;130;77;17;452;805
01276;Niévroz;1662;1043.38;34;3514;100;32;3533;3;3533;100;75;7;326;582
01277;Nivollet-Montgriffon;122;846.1;6;1424;45;6;1424;0;;45;;0;;
01279;Oncieu;72;755.65;6;1336;83;6;1336;0;;83;;0;;
01280;Ordonnaz;151;1479.23;10;2153;90;8;1708;3;4474;97;36;0;;
01281;Ornex;5082;568.6;139;5352;88;54;5591;85;5250;115;69;5;609;901
01282;Outriaz;263;590.22;7;1429;113;7;1429;0;;113;;2;116;550
01283;Oyonnax;22480;3612.33;418;1573;73;140;2039;278;1429;101;64;42;188;466
01284;Ozan;732;658.5;18;2512;89;17;2463;1;3000;89;60;13;84;807
01285;Parcieux;1315;316.31;24;3781;93;18;3848;8;3652;102;68;7;883;411
01286;Parves et Nattages;962;1585.98;23;2653;110;23;2653;3;3012;110;60;5;59;1357
01288;Péron;2916;2598.92;95;4255;88;41;4636;54;4119;120;72;13;824;339
01289;Péronnas;6444;1789.91;169;2277;88;111;2273;58;2303;99;58;24;279;400
