city_code;da_name;da_population;da_surface_ha;dvf_nbtrans;dvf_pxm2_median;dvf_surface_median;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain;anct_part_actifs_transports_en_commun_2022;anct_taux_annuel_evol_population_2016_2022
19010;Argentat-sur-Dordogne;2881;2935.15;171;1255;81;121;1381;50;1078;96;40;47;14;404;0.4;-1.26
19011;Arnac-Pompadour;1205;1506.14;52;1094;84;47;1076;9;1111;82;71;17;19;902;2.2;1.11
19012;Astaillac;204;730.03;13;1636;86;13;1636;0;;86;;7;6;1608;0;-1.88
19013;Aubazines;856;1424.28;23;2090;80;22;2057;3;2647;83;60;12;8;2005;1;-0.96
19014;Auriac;216;3479.5;15;1483;75;15;1483;0;;75;;6;4;1500;0;-0.89
19015;Ayen;717;1336.43;33;1160;76;31;1141;3;1868;80;66;26;47;629;0;-0.21
19016;Bar;311;2088.32;15;1418;98;15;1418;0;;98;;6;11;506;0.7;-0.22
19017;Bassignac-le-Bas;80;1241.08;7;1444;80;7;1444;1;3425;80;40;5;9;423;0;-1.9
19018;Bassignac-le-Haut;160;1945.36;10;1055;81;10;1055;0;;81;;5;4;1550;0;-3.57
19019;Beaulieu-sur-Dordogne;1310;1698.72;68;1533;82;58;1605;10;1250;85;75;13;6;688;0.5;-0.13
19020;Beaumont;114;1112.9;7;1991;88;7;1991;0;;88;;6;16;434;2.6;-0.14
19021;Bellechassagne;102;1328.73;7;641;85;7;641;0;;85;;1;1;1488;0;2.35
19022;Benayes;224;2340.67;16;1237;76;16;1237;0;;76;;8;5;2699;1.1;-0.66
19023;Beynat;1318;3482.46;60;1405;73;58;1405;5;1433;73;62;28;8;1982;1.2;0.12
19024;Beyssac;481;2133.9;17;1167;70;17;1167;1;1356;70;66;5;8;1109;1.6;-4.02
19025;Beyssenac;370;1817.53;19;1594;80;17;1594;2;5164;80;72;6;3;6461;0;-0.73
19026;Bilhac;242;711.6;11;1275;123;11;1275;0;;123;;7;8;1268;0;1.2
19027;Bonnefond;115;4537.72;6;1169;93;6;1169;1;4209;93;43;2;12;407;0;0.3
19028;Bort-les-Orgues;2483;1484.9;109;952;70;80;974;29;808;79;57;13;7;799;0.6;-1.35
19029;Branceilles;279;1157.93;17;2018;107;17;2018;0;;107;;9;18;1154;0.8;-0.06
19030;Brignac-la-Plaine;977;1885.8;29;1556;100;29;1556;1;2273;100;22;19;7;3594;1;-0.34
